"","HCPCS.Code","jump","increase","HCPCS.Description","year","count"
"292","0191T",59.1206030150754,5812.06030150754,"Internal insertion of eye fluid drainage device","2013",10095
"293","0249T",2.37724550898204,137.724550898204,"Suturing hemorrhoids using ultrasound guidance","2013",155
"294","0281T",6.26086956521739,526.086956521739,"Catheter-delivered implant to left upper heart chamber for appendage closure using imaging","2013",150
"295","0281T",6.26086956521739,526.086956521739,"Radiological supervision and interpretation of catheter-delivered implant (accessed through the skin) to left upper heart chamber for appendage closure","2013",150
"296","0297T",2.62162162162162,162.162162162162,"Ext ecg scan w/report","2013",NA
"297","0297T",2.62162162162162,162.162162162162,"Analysis and report of external EKG recording for more than 48 hours up to 21 days","2013",NA
"298","0298T",7.70022497187851,670.022497187852,"Ext ecg review and interp","2013",5029
"299","0298T",7.70022497187851,670.022497187852,"Review and interpretation of external EKG recording for more than 48 hours up to 21 days","2013",5029
"300","0308T",6.23076923076923,523.076923076923,"Insj ocular telescope prosth","2013",109
"301","0308T",6.23076923076923,523.076923076923,"Insertion of prosthetic telescope in eye for the treatment of central vision","2013",109
"302","102",2.33707865168539,133.707865168539,"Anesthesia for procedure to repair lip defect present at birth","2013",73
"303","11980",2.0337552742616,103.37552742616,"Insertion of hormone pellets into tissue","2013",383
"304","11980",2.0337552742616,103.37552742616,"Insertion of hormone pellets beneath the skin","2013",383
"305","15110",3.57142857142857,257.142857142857,"Skin graft at trunk, arms, or legs (first 100 sq cm or less, or 1% body area of infants and children)","2013",305
"306","15860",2.25739320920044,125.739320920044,"Injection of agent into vein to assess blood flow of skin graft or flap","2013",1462
"307","15877",2.125,112.5,"Suction assisted removal of fat from trunk","2013",38
"308","17108",3.2,220,"Destruction of skin growth (over 50.0 sq centimeters)","2013",94
"309","1925",2.1864406779661,118.64406779661,"Anesthesia for X-ray procedure on neck or heart artery","2013",8277
"310","1933",2.07142857142857,107.142857142857,"Anesthesia for X-ray procedure of brain vein or lymph system","2013",68
"311","1933",2.07142857142857,107.142857142857,"Anesthesia for X-ray procedure on brain vein","2013",68
"312","20500",2.54166666666667,154.166666666667,"Injection for repair of abnormal muscle drainage tract","2013",791
"313","20982",3.12977099236641,212.977099236641,"Destruction of bone growth using CT guidance","2013",187
"314","20982",3.12977099236641,212.977099236641,"Destruction of bone growths using CT guidance, accessed through the skin","2013",187
"315","20982",3.12977099236641,212.977099236641,"Destruction of 1 or more bone growths accessed through the skin","2013",187
"316","21445",3.88461538461538,288.461538461538,"Open surgical treatment of broken jaw or cheek bone","2013",47
"317","21445",3.88461538461538,288.461538461538,"Open treatment of broken jaw or cheek bone","2013",47
"318","22856",4.39285714285714,339.285714285714,"Insertion of artificial spine disc","2013",216
"319","22856",4.39285714285714,339.285714285714,"Insertion of artificial upper spine disc, anterior approach","2013",216
"320","24301",2.32549019607843,132.549019607843,"Relocation of muscle or tendon of upper arm or elbow","2013",226
"321","25430",2.18181818181818,118.181818181818,"Insertion of vascular bone graft into wrist bone","2013",15
"322","27391",2.16438356164384,116.438356164384,"Repair of multiple hamstring tendons","2013",61
"323","27391",2.16438356164384,116.438356164384,"Repair of multiple hamstring tendons, open procedure","2013",61
"324","27394",2.73263888888889,173.263888888889,"Lengthening of multiple hamstring tendons in one leg","2013",266
"325","27443",3.26666666666667,226.666666666667,"Repair of knee joint","2013",52
"326","29086",2.41666666666667,141.666666666667,"Application of cast to finger","2013",19
"327","29851",2.66666666666667,166.666666666667,"Treatment of knee joint fracture with assistance of an endoscope","2013",20
"328","29851",2.66666666666667,166.666666666667,"Treatment of knee joint fractures with assistance of an endoscope with fixation","2013",20
"329","29855",3.49469964664311,249.469964664311,"Treatment of broken leg bone with assistance of an endoscope","2013",346
"330","29856",2.32142857142857,132.142857142857,"Treatment of broken leg bone with assistance of an endoscope","2013",25
"331","31297",2.00875273522976,100.875273522976,"Dilation of nasal sinus using an endoscope","2013",621
"332","31627",2.07420573205954,107.420573205954,"Computer-assisted image-guided navigation of lung airways using an endoscope","2013",5926
"333","31760",2.61538461538462,161.538461538462,"Repair of windpipe cartilage by insertion of splint or graft","2013",31
"334","33229",2.19278996865204,119.278996865204,"Removal and replacement of multiple lead permanent pacemaker pulse generator","2013",2639
"335","33282",3.66973574076288,266.973574076288,"Implantation of long-term patient-activated heart monitoring device","2013",10174
"336","33282",3.66973574076288,266.973574076288,"Implantation patient-activated heart monitoring device","2013",10174
"337","33982",5.90909090909091,490.909090909091,"Replacement of lower heart chamber assistive blood flow device","2013",38
"338","33982",5.90909090909091,490.909090909091,"Replacement of lower heart chamber assistive blood flow devices","2013",38
"339","38242",2.02702702702703,102.702702702703,"Transplantation of donor stem cells from bone marrow or blood with infusion of donor white blood cells","2013",90
"340","38794",2.53333333333333,153.333333333333,"Exposure of lymph node of chest cavity","2013",21
"341","42200",2.30769230769231,130.769230769231,"Repair of defect of roof of mouth","2013",15
"342","43237",10.7932960893855,979.329608938547,"Examination of esophagus, stomach, and upper small bowel using an endoscope","2013",1078
"343","43237",10.7932960893855,979.329608938547,"Ultrasound examination of esophagus, stomach, and/or upper small bowel using an endoscope","2013",1078
"344","43238",11.025787965616,1002.5787965616,"Ultrasound guided needle aspiration or biopsies of esophagus using an endoscope","2013",755
"345","43257",4.31818181818182,331.818181818182,"Heat delivery to muscle at esophagus and stomach to treat gastrict reflux using an endoscope","2013",138
"346","43257",4.31818181818182,331.818181818182,"Heat delivery to muscle at esophagus and stomach to treat gastric reflux using an endoscope","2013",138
"347","43257",4.31818181818182,331.818181818182,"Heat delivery to muscle at esophagus and/or stomach to treat gastric reflux using an endoscope","2013",138
"348","43496",2.08333333333333,108.333333333333,"Relocation of upper small bowel","2013",NA
"349","43775",25.4505494505494,2445.05494505494,"Stomach bypass procedure with partial removal of stomach using an endoscope","2013",10583
"350","43775",25.4505494505494,2445.05494505494,"Stomach reduction procedure with partial removal of stomach using an endoscope","2013",10583
"351","46744",2.53846153846154,153.846153846154,"Repair of defect for single channel outlet of rectum, vagina, and urinary tract","2013",22
"352","46946",2.63843236409608,163.843236409608,"Removal and tying 2 or more hemorrhoid group","2013",1954
"353","47142",3.24,224,"Removal of donor liver right lobe","2013",21
"354","47146",2.125,112.5,"Preparation of donor liver for transplantation","2013",42
"355","50949",2.10196078431373,110.196078431373,"Procedure of duct (ureter) using an endoscope","2013",264
"356","50949",2.10196078431373,110.196078431373,"Urinary duct (ureter) procedure using an endoscope","2013",264
"357","51990",2.71825396825397,171.825396825397,"Suture suspension of bladder canal (urethra) to control leakage using an endoscope","2013",699
"358","534",2.82682521287852,182.682521287852,"Anesthesia for insertion or replace of pacing heart defibrillator","2013",20408
"359","54200",2.17073170731707,117.073170731707,"Injection procedure to correct abnormally-thickened penile tissue","2013",95
"360","54200",2.17073170731707,117.073170731707,"Injection procedure to correct abnormally thickened penile tissue","2013",95
"361","560",2.11935828877005,111.935828877005,"Anesthesia for procedure on heart and great blood vessels","2013",26896
"362","61860",4.09090909090909,309.090909090909,"Implantation of neurostimulator electrodes in brain","2013",13
"363","64430",2.01362862010221,101.362862010221,"Injection of anesthetic agent, pudendal (external genital) nerve","2013",684
"364","64505",2.48433734939759,148.433734939759,"Injection of anesthetic agent, trigeminal nerve bundle","2013",572
"365","64566",2.4708276797829,147.08276797829,"Implantation of lower leg neurostimulator electrode","2013",872
"366","64566",2.4708276797829,147.08276797829,"Implantation of lower leg neurostimulator electrode, accessed through the skin","2013",872
"367","64611",2.29192546583851,129.192546583851,"Injection of chemical for destruction of salivary glands","2013",669
"368","64611",2.29192546583851,129.192546583851,"Injection of chemical for destruction of salivary glands on both sides of the mouth","2013",669
"369","64650",2.24324324324324,124.324324324324,"Injection of chemical for destruction of underarm sweat glands","2013",60
"370","64868",2.06666666666667,106.666666666667,"Connection of nerves to restore function to the face","2013",38
"371","65800",2.28998505231689,128.998505231689,"Aspiration of eye fluid for diagnosis","2013",1992
"372","65800",2.28998505231689,128.998505231689,"Aspiration of eye fluid","2013",1992
"373","65820",2.84415584415584,184.415584415584,"Incision to improve eye fluid flow","2013",125
"374","66505",5,400,"Incision and drainage of eye fluid accumulation in iris","2013",28
"375","69799",2.02439024390244,102.439024390244,"Middle ear procedure","2013",37
"376","70310",5,400,"X-ray of teeth, less than full mouth","2013",13
"377","70558",2.33333333333333,133.333333333333,"MRI scan of brain with contrast","2013",29
"378","70558",2.33333333333333,133.333333333333,"MRI scan of brain with contrast, during open brain procedure","2013",29
"379","75559",2.2,120,"MRI of heart with stress imaging","2013",47
"380","75571",3.63426488456865,263.426488456865,"CT scan of heart with evaluation of blood vessel calcium","2013",2313
"381","75572",2.08177881412392,108.177881412392,"CT scan of heart structure","2013",7806
"382","75572",2.08177881412392,108.177881412392,"CT scan of heart structure with contrast","2013",7806
"383","75807",2.96774193548387,196.774193548387,"Imaging of lymphatic tissue of pelvis and abdomen","2013",52
"384","75807",2.96774193548387,196.774193548387,"Radiological supervision and interpretation of imaging of lymphatic system of both side of pelvis and abdomen","2013",52
"385","76497",2.39393939393939,139.393939393939,"CT scan","2013",35
"386","76977",3.25,225,"Ultrasound of bone density measurement","2013",11
"387","77071",2.06917475728155,106.917475728155,"Imaging of joint with stressing by physician","2013",1135
"388","77399",3.35294117647059,235.294117647059,"Management of radiation therapy","2013",117
"389","77605",3.89189189189189,289.189189189189,"External hyperthermia treatment depth greater than 4 cm","2013",111
"390","78492",2.05628502802242,105.628502802242,"Nuclear medicine study heart muscle at rest and/or stress multiple studies","2013",19999
"391","78599",3.82352941176471,282.352941176471,"Nuclear medicine study of respiratory systems","2013",14
"392","78999",4.71515151515151,371.515151515152,"Diagnostic nuclear medicine procedures","2013",331
"393","79101",6.35030549898167,535.030549898167,"Radioactive material therapy into vein","2013",1607
"394","79445",3.34122562674095,234.122562674095,"Radioactive material therapy into artery","2013",925
"395","80048",2.95297555791711,195.297555791711,"Blood test, basic group of blood chemicals","2013",22407
"396","80051",8.79329608938547,779.329608938547,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)","2013",471
"397","80053",2.05715859030837,105.715859030837,"Blood test, comprehensive group of blood chemicals","2013",22977
"398","80164",2.78105141536684,178.105141536684,"Dipropylacetic acid (valproic acid) level","2013",3909
"399","80164",2.78105141536684,178.105141536684,"Valproic acid level","2013",3909
"400","80188",6.07692307692308,507.692307692308,"Primidone level","2013",NA
"401","80202",2.42380952380952,142.380952380952,"Vancomycin (antibiotic) level","2013",734
"402","81000",2.30409356725146,130.409356725146,"Manual urinalysis test with examination using microscope","2013",407
"403","81001",2.41611670719,141.611670719,"Manual urinalysis test with examination using microscope","2013",13771
"404","81003",5.63970588235294,463.970588235294,"Automated urinalysis test","2013",380
"405","82040",2.42893725992318,142.893725992318,"Albumin (protein) level","2013",2844
"406","82043",3.57317073170732,257.317073170732,"Urine microalbumin (protein) level","2013",542
"407","82140",3.65420560747664,265.420560747664,"Ammonia level","2013",527
"408","82150",5.1744966442953,417.44966442953,"Amylase (enzyme) level","2013",483
"409","82248",14.6258741258741,1362.58741258741,"Bilirubin level","2013",1502
"410","82272",4.88732394366197,388.732394366197,"Stool analysis for blood","2013",74
"411","82306",5.34606569900688,434.606569900688,"Vitamin D-3 level","2013",3872
"412","82310",8.24096385542169,724.096385542169,"Calcium level","2013",200
"413","82374",7.32352941176471,632.352941176471,"Carbon dioxide (bicarbonate) level","2013",22
"414","82378",2.0126582278481,101.26582278481,"Carcinoembryonic antigen (CEA) protein level","2013",171
"415","82435",7.35294117647059,635.294117647059,"Blood chloride level","2013",32
"416","82533",6.15,515,"Cortisol (hormone) measurement","2013",NA
"417","82550",3.82142857142857,282.142857142857,"Creatine kinase (cardiac enzyme) level","2013",674
"418","82553",3.59090909090909,259.090909090909,"Creatine kinase (cardiac enzyme) level","2013",NA
"419","82565",6.70444444444444,570.444444444444,"Blood creatinine level","2013",1378
"420","82570",5.21212121212121,421.212121212121,"Creatinine level to test for kidney function or muscle injury","2013",471
"421","82607",5.11826452064381,411.826452064381,"Cyanocobalamin (vitamin B-12) level","2013",4399
"422","82668",6.8,580,"Erythropoietin (protein) level","2013",NA
"423","82728",3.36763129689175,236.763129689175,"Ferritin (blood protein) level","2013",3210
"424","82746",4.77328843995511,377.328843995511,"Folic acid level","2013",3031
"425","82784",11.2857142857143,1028.57142857143,"Gammaglobulin (immune system protein) measurement","2013",NA
"426","82803",4.36,336,"Blood gases measurement","2013",108
"427","82947",9.96858638743456,896.858638743456,"Blood glucose (sugar) level","2013",568
"428","82977",4.44,344,"Glutamyltransferase (liver enzyme) level","2013",43
"429","83036",3.16638900458142,216.638900458142,"Hemoglobin A1C level","2013",10267
"430","83520",2.90909090909091,190.909090909091,"Measurement of substance using immunoassay technique","2013",85
"431","83540",3.65896487985213,265.896487985213,"Iron level","2013",3432
"432","83550",3.46083550913838,246.083550913838,"Iron binding capacity","2013",2449
"433","83615",3.10891089108911,210.891089108911,"Lactate dehydrogenase (enzyme) level","2013",215
"434","83690",5.96240601503759,496.240601503759,"Lipase (fat enzyme) level","2013",471
"435","83921",3,200,"Organic acid level","2013",NA
"436","83935",5.45454545454545,445.454545454545,"Urine osmolality (concentration) measurement","2013",NA
"437","84075",2.03448275862069,103.448275862069,"Phosphatase (enzyme) level","2013",297
"438","84100",3.22765957446809,222.765957446809,"Phosphate level","2013",1661
"439","84132",3.5968992248062,259.68992248062,"Blood potassium level","2013",1475
"440","84146",4.72222222222222,372.222222222222,"Prolactin (milk producing hormone) level","2013",NA
"441","84155",3.98540145985401,298.540145985401,"Total protein level, blood","2013",411
"442","84156",3.63636363636364,263.636363636364,"Total protein level, urine","2013",NA
"443","84295",7.31325301204819,631.325301204819,"Blood sodium level","2013",277
"444","84300",5.53846153846154,453.846153846154,"Urine sodium level","2013",NA
"445","84403",5.33333333333333,433.333333333333,"Testosterone (hormone) level","2013",NA
"446","84436",3.48815165876777,248.815165876777,"Thyroxine (thyroid chemical) measurement","2013",1952
"447","84439",5.28132387706856,428.132387706856,"Thyroxine (thyroid chemical) measurement","2013",2451
"448","84443",3.27193548387097,227.193548387097,"Blood test, thyroid stimulating hormone (TSH)","2013",15528
"449","84450",3.89285714285714,289.285714285714,"Liver enzyme (SGOT), level","2013",563
"450","84460",3.29428571428571,229.428571428571,"Liver enzyme (SGPT), level","2013",1062
"451","84466",2.71544715447154,171.544715447154,"Transferrin (iron binding protein) level","2013",484
"452","84479",3.63257575757576,263.257575757576,"Thyroid hormone evaluation","2013",1162
"453","84480",7.99090909090909,699.090909090909,"Thyroid hormone, T3 measurement","2013",NA
"454","84481",3.22516556291391,222.516556291391,"Thyroid hormone, T3 measurement","2013",372
"455","84520",8.53511705685619,753.511705685619,"Urea nitrogen level to assess kidney function","2013",876
"456","84550",5.39951573849879,439.951573849879,"Uric acid level, blood","2013",1544
"457","85007",24.0574712643678,2305.74712643678,"Microscopic examination for white blood cells with manual cell count","2013",129
"458","85014",3.8734693877551,287.34693877551,"Red blood cell concentration measurement","2013",1313
"459","85018",3.68681318681319,268.681318681319,"Hemoglobin measurement","2013",1518
"460","85025",2.34816993464052,134.816993464052,"Complete blood cell count (red cells, white blood cell, platelets), automated test","2013",33658
"461","85027",65.2568306010929,6425.68306010929,"Complete blood cell count (red cells, white blood cell, platelets), automated test","2013",365
"462","85045",13.75,1275,"Red blood count, automated test","2013",NA
"463","85652",2.51851851851852,151.851851851852,"Red blood cell sedimentation rate, to detect inflammation","2013",541
"464","85730",2.6241610738255,162.41610738255,"Coagulation assessment blood test","2013",1150
"465","86038",5.02702702702703,402.702702702703,"Screening test for autoimmune disorder","2013",NA
"466","86039",3.63636363636364,263.636363636364,"Measurement of antibody for assessment of autoimmune disorder","2013",NA
"467","86140",3.7344398340249,273.44398340249,"Measurement C-reactive protein for detection of infection or inflammation","2013",777
"468","86300",2.25,125,"Immunologic analysis for detection of tumor antigen","2013",NA
"469","86431",13.4166666666667,1241.66666666667,"Rheumatoid factor level","2013",NA
"470","87040",2.89225589225589,189.225589225589,"Bacterial blood culture","2013",951
"471","87046",20.5333333333333,1953.33333333333,"Stool culture","2013",NA
"472","87071",52.2777777777778,5127.77777777778,"Bacterial culture and colony count","2013",12
"473","87081",3.86842105263158,286.842105263158,"Screening test for pathogenic organisms","2013",347
"474","87086",2.51724754244861,151.724754244861,"Bacterial colony count, urine","2013",12811
"475","87147",16.7857142857143,1578.57142857143,"Identification of organisms by immunologic analysis","2013",NA
"476","87177",7.06451612903226,606.451612903226,"Smear for parasites","2013",NA
"477","87184",36.5333333333333,3553.33333333333,"Evaluation of antimicrobial drug (antibiotic, antifungal, antiviral)","2013",NA
"478","87205",4.81976744186047,381.976744186047,"Special stain for microorganism","2013",974
"479","87804",19.3,1830,"Detection test for Influenza virus","2013",76
"480","87804",19.3,1830,"Detection test for influenza virus","2013",76
"481","88142",2.9125,191.25,"Pap test (Pap smear)","2013",26
"482","88356",2.5,150,"Microscopic genetic analysis of nerve tissue","2013",163
"483","90662",3.09826589595376,209.826589595376,"Vaccine for influenza injection","2013",1140
"484","90662",3.09826589595376,209.826589595376,"Vaccine for influenza for injection into muscle","2013",1140
"485","90670",38.8299319727891,3782.99319727891,"Pneumococcal vaccine for injection","2013",458
"486","90670",38.8299319727891,3782.99319727891,"Pneumococcal vaccine for injection into muscle","2013",458
"487","90867",2.59375,159.375,"Transcranial magnetic stimulation initial mapping motor threshold determination delivery and management","2013",41
"488","90867",2.59375,159.375,"Transcranial magnetic stimulation treatment (stimulates nerve cells in brain to improve symptoms of depression)","2013",41
"489","90868",4.57377049180328,357.377049180328,"Transcranial magnetic stimulation subsequent delivery and management per session","2013",92
"490","90868",4.57377049180328,357.377049180328,"Transcranial magnetic stimulation treatment (stimulates nerve cells in brain to improve symptoms of depression), per session","2013",92
"491","90993",2.46666666666667,146.666666666667,"Dialysis training, patient helper, course not completed","2013",33
"492","91037",2.13853258081067,113.853258081067,"Monitoring of gastroesophageal reflux including analysis and interpretation","2013",2862
"493","91132",6.76923076923077,576.923076923077,"Recording of gastrointestinal electrical activity of stomach","2013",21
"494","92140",2.75961538461538,175.961538461538,"Glaucoma testing of eye fluid pressure","2013",95
"495","92283",2.03636363636364,103.636363636364,"Extended color vision examination","2013",159
"496","92284",2.11392405063291,111.392405063291,"Evaluation of eye adaptation to light and dark (rods and cones)","2013",174
"497","92499",4,300,"Service or surgery of the eye","2013",61
"498","92507",20,1900,"Treatment of speech, language, voice, communication, or hearing processing disorder","2013",NA
"499","92507",20,1900,"Treatment of speech, language, voice, communication, and/or hearing processing disorder","2013",NA
"500","92526",2.11111111111111,111.111111111111,"Treatment of swallowing or oral feeding function","2013",84
"501","92526",2.11111111111111,111.111111111111,"Treatment of swallowing and/or oral feeding function","2013",84
"502","92547",2.34375,134.375,"Use of vertical electrodes during eye or balance evaluation","2013",34
"503","92552",2.03448275862069,103.448275862069,"Pure tone air conduction threshold hearing assessment","2013",136
"504","92556",4.88,388,"Assessment of hearing loss and speech recognition","2013",133
"505","92567",2.01589682063587,101.589682063587,"Eardrum testing using ear probe","2013",8374
"506","92604",2.08636363636364,108.636363636364,"Analysis and subsequent reprogramming of inner ear (cochlear) implant, patient age 7 years or older","2013",256
"507","92604",2.08636363636364,108.636363636364,"Analysis and reprogramming of inner ear (cochlear) implant, patient age 7 years or older","2013",256
"508","92626",4.10648148148148,310.648148148148,"Evaluation of hearing rehabilitation","2013",594
"509","92626",4.10648148148148,310.648148148148,"Evaluation of hearing rehabilitation first hour","2013",594
"510","92997",2.5,150,"Balloon catheter opening of major lung artery (pulmonary)","2013",100
"511","92997",2.5,150,"Balloon catheter opening of major lung artery (pulmonary), accessed through the skin","2013",100
"512","93000",2.05601659751037,105.601659751037,"Routine EKG using at least 12 leads including interpretation and report","2013",10358
"513","93040",2.68421052631579,168.421052631579,"Tracing of electrical activity of heart using 1-3 leads with interpretation and report","2013",90
"514","93285",2.47547797173732,147.547797173732,"Evaluation, testing, and programming adjustment of implantable, patient activated heart recorder system including physician analysis, review, and report","2013",1691
"515","93291",2.62696522153406,162.696522153406,"Evaluation of implantable heart recorder system including physician analysis, review, and report","2013",2746
"516","93298",6.61423220973783,561.423220973783,"Remote evaluation of implantable heart recorder system including physician analysis, review, and report up to 30 days","2013",1851
"517","93298",6.61423220973783,561.423220973783,"Remote evaluations of implantable heart recorder system including physician analysis, review, and report up to 30 days","2013",1851
"518","93750",2.70669698222406,170.669698222406,"Evaluation of lower heart chamber assist device with physician analysis","2013",7509
"519","93998",3,200,"Noninvasive vascular diagnostic study","2013",85
"520","94452",2.19075144508671,119.075144508671,"Testing of lung function at high altitude","2013",265
"521","94453",2.62307692307692,162.307692307692,"Testing of lung function at high altitude with supplemental oxygen delivery","2013",181
"522","94770",4.65116279069767,365.116279069767,"Measurement of exhaled carbon dioxide gas","2013",143
"523","95145",2.18181818181818,118.181818181818,"Preparation and provision of single stinging insect venom for allergen immunotherapy","2013",37
"524","95147",2.95454545454545,195.454545454545,"Preparation and provision of 3 single stinging insect venom for allergen immunotherapy","2013",26
"525","95148",2.8125,181.25,"Preparation and provision of 4 single stinging insect venom for allergen immunotherapy","2013",20
"526","95800",6.09567901234568,509.567901234568,"Study of sleep patterns","2013",698
"527","95801",4.45454545454545,345.454545454545,"Study of sleep patterns","2013",73
"528","95806",5.31466395112016,431.466395112016,"Unattended sleep study with recording of heart rate, oxygen, respiratory airflow and effort","2013",4476
"529","95834",2.11111111111111,111.111111111111,"Manual muscle testing of whole body including hands","2013",87
"530","95981",2.58426966292135,158.426966292135,"Electronic analysis of implanted gastric neurostimulator generator or transmitter","2013",144
"531","95982",2.17532467532468,117.532467532468,"Electronic analysis and programming of implanted gastric neurostimulator generator or transmitter","2013",220
"532","96111",2.91666666666667,191.666666666667,"Developmental testing","2013",13
"533","96920",2.21739130434783,121.739130434783,"Laser treatment (total area less than 250 sq centimeters) for inflammatory skin disease","2013",122
"534","96922",2.92857142857143,192.857142857143,"Laser treatment (over 500 sq centimeters) for inflammatory skin disease","2013",27
"535","97762",2.2972972972973,129.72972972973,"Evaluation of orthotic or prosthetic use, each 15 minutes","2013",84
"536","98929",2.08991494532199,108.991494532199,"Osteopathic manipulative treatment to 9-10 body regions","2013",1171
"537","G0009",3.03024830699774,203.024830699774,"Administration of pneumococcal vaccine","2013",2206
"538","G0108",2.11767866738313,111.767866738313,"Diabetes outpatient self-management training services, individual, per 30 minutes","2013",2975
"539","G0389",2.39750273540581,139.750273540581,"Ultrasound b-scan and/or real time with image documentation; for abdominal aortic aneurysm (aaa) screening","2013",21141
"540","G0398",2.93548387096774,193.548387096774,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation","2013",43
"541","G0399",12.7142857142857,1171.42857142857,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation","2013",506
"542","G0400",3.94117647058824,294.117647058824,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels","2013",47
"543","G0407",2.7906976744186,179.06976744186,"Follow-up inpatient consultation, intermediate, physicians typically spend 25 minutes communicating with the patient via telehealth","2013",1609
"544","G0408",4.65714285714286,365.714285714286,"Follow-up inpatient consultation, complex, physicians typically spend 35 minutes communicating with the patient via telehealth","2013",919
"545","G0416",17.2060950413223,1620.60950413223,"Surgical pathology, gross and microscopic examination for prostate needle saturation biopsy sampling, 1-20 specimens","2013",3482
"546","G0416",17.2060950413223,1620.60950413223,"Surgical pathology, gross and microscopic examinations for prostate needle saturation biopsy sampling, 10-20 specimens","2013",3482
"547","G0416",17.2060950413223,1620.60950413223,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method, 10-20 specimens","2013",3482
"548","G0416",17.2060950413223,1620.60950413223,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method","2013",3482
"549","G0424",2.08333333333333,108.333333333333,"Pulmonary rehabilitation, including exercise (includes monitoring), one hour, per session, up to two sessions per day","2013",71
"550","G0425",5.18165938864629,418.165938864629,"Telehealth consultation, emergency department or initial inpatient, typically 30 minutes communicating with the patient via telehealth","2013",1661
"551","G0426",2.75485188968335,175.485188968335,"Telehealth consultation, emergency department or initial inpatient, typically 50 minutes communicating with the patient via telehealth","2013",1670
"552","G0427",2.53678077203205,153.678077203205,"Telehealth consultation, emergency department or initial inpatient, typically 70 minutes or more communicating with the patient via telehealth","2013",2055
"553","G0437",2.61183431952663,161.183431952663,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes","2013",1477
"554","G0439",3.88804715127701,288.804715127701,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit","2013",129941
"555","G0442",5.00892857142857,400.892857142857,"Annual alcohol misuse screening, 15 minutes","2013",1398
"556","G0444",11.5133689839572,1051.33689839572,"Annual depression screening, 15 minutes","2013",929
"557","G0446",3.29059829059829,229.059829059829,"Intensive behavioral therapy to reduce cardiovascular disease risk, individual, face-to-face, bi-annual, 15 minutes","2013",110
"558","G0446",3.29059829059829,229.059829059829,"Annual, face-to-face intensive behavioral therapy for cardiovascular disease, individual, 15 minutes","2013",110
"559","J0585",7.93800539083558,693.800539083558,"Injection, onabotulinumtoxina, 1 unit","2013",1206
"560","J0696",2.70769230769231,170.769230769231,"Injection, ceftriaxone sodium, per 250 mg","2013",209
"561","J0702",2.33333333333333,133.333333333333,"Injection, betamethasone acetate 3mg and betamethasone sodium phosphate 3mg","2013",127
"562","J1020",3.57894736842105,257.894736842105,"Injection, methylprednisolone acetate, 20 mg","2013",91
"563","J1030",2.02912621359223,102.912621359223,"Injection, methylprednisolone acetate, 40 mg","2013",654
"564","J1885",4.32394366197183,332.394366197183,"Injection, ketorolac tromethamine, per 15 mg","2013",240
"565","J2785",2.5,150,"Injection, regadenoson, 0.1 mg","2013",NA
"566","J2785",2.5,150,"Injection, regadenoson, 0. 1 mg","2013",NA
"567","J2920",2.14285714285714,114.285714285714,"Injection, methylprednisolone sodium succinate, up to 40 mg","2013",37
"568","J2930",29.125,2812.5,"Injection, methylprednisolone sodium succinate, up to 125 mg","2013",24
"569","J3010",18.5909090909091,1759.09090909091,"Injection, fentanyl citrate, 0.1 mg","2013",37
"570","J3010",18.5909090909091,1759.09090909091,"Injection, fentanyl citrate, 0. 1 mg","2013",37
"571","J7323",3.5,250,"Hyaluronan or derivative, euflexxa, for intra-articular injection, per dose","2013",53
"572","J7324",3.75806451612903,275.806451612903,"Hyaluronan or derivative, orthovisc, for intra-articular injection, per dose","2013",65
"573","J7620",4.32727272727273,332.727272727273,"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme","2013",48
"574","J7620",4.32727272727273,332.727272727273,"Albuterol, up to 2. 5 mg and ipratropium bromide, up to 0. 5 mg, fda-approved final product, non-compounded, administered through dme","2013",48
"575","P9603",2.28250141394874,128.250141394874,"Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled.","2013",86932
"576","P9603",2.28250141394874,128.250141394874,"Travel allowance one way in connection with medically necessary laboratory specimen collection drawn from home bound or nursing home bound patient; prorated miles actually travelled","2013",86932
"577","Q3014",108,10700,"Telehealth originating site facility fee","2013",535
"578","Q4038",2.125,112.5,"Cast supplies, short leg cast, adult (11 years +), fiberglass","2013",32
"579","Q4110",5.30769230769231,430.769230769231,"Primatrix, per square centimeter","2013",34
"580","Q9965",18.3636363636364,1736.36363636364,"Low osmolar contrast material, 100-199 mg/ml iodine concentration, per ml","2013",117
"581","0159T",3.24659653465347,224.659653465347,"Computer-aided detection and computer algorithm analysis of breast MRI image data","2014",10043
